category,priority,edge_id,from_id,from_name,to_id,to_name,recommended_action,notes
"add_path","medium","eB00061","glab_main","Green Lane Academic Building (GLAB) Main Entrance","kean_hall_lot","Kean Hall Lot","add_path","Improves GLAB lot connectivity."
"add_path","medium","eB00085","lhac_lot","LHAC Lot","lhac_main","Liberty Hall Academic Center (LHAC) Main Entrance","add_path","Important lot-to-building connection."
"add_path","medium","eB00084","kean_hall_lot","Kean Hall Lot","townley_house_main","Townley House Main Entrance","add_path","Improves north-campus lot access."
"remove_duplicate_missing","high","eB00039","d_angola_gym_main","D'Angola Gymnasium Main Entrance","cas_main_front2","Maxine and Jack Lane Center for Academic Success (CAS) Entrance front2","remove_duplicate_missing","Already exists in kean_paths.geojson as auto_proximity; remove from kean_paths_missing.json."
"remove_duplicate_missing","high","eB00069","harwood_arena_main","Harwood Arena Main Entrance","cas_main_front2","Maxine and Jack Lane Center for Academic Success (CAS) Entrance front2","remove_duplicate_missing","Already exists in kean_paths.geojson as auto_proximity; remove from kean_paths_missing.json."
"remove_duplicate_missing","high","eB00074","hennings_hall_front","George Hennings Hall Entrance front","science_building_main","Science Building Main Entrance","remove_duplicate_missing","Already exists in kean_paths.geojson as auto_proximity; remove from kean_paths_missing.json."
"remove_duplicate_missing","high","eB00080","hutchinson_hall_side","Hutchinson Hall Entrance side","morris avenue lot","Morris Avenue Lot","remove_duplicate_missing","Already exists in kean_paths.geojson as auto_proximity; remove from kean_paths_missing.json."
"remove_duplicate_missing","high","eB00081","hutchinson_hall_side","Hutchinson Hall Entrance side","technology_center_main","Technology (TEC) Main Entrance","remove_duplicate_missing","Already exists in kean_paths.geojson as auto_proximity; remove from kean_paths_missing.json."
"remove_duplicate_missing","high","eB00082","hynes_hall_lot","Hynes Hall Lot","townley_house_main","Townley House Main Entrance","remove_duplicate_missing","Already exists in kean_paths.geojson as auto_proximity; remove from kean_paths_missing.json."
"remove_duplicate_missing","high","eB00088","lhac_main","Liberty Hall Academic Center (LHAC) Main Entrance","liberty_hall_visitor_parking","Liberty Hall Visitor Parking Only","remove_duplicate_missing","Already exists in kean_paths.geojson as auto_proximity; remove from kean_paths_missing.json."
"remove_duplicate_missing","high","eB00089","liberty_hall_mansion_main","Liberty Hall Mansion Main Entrance","liberty_hall_visitor_parking","Liberty Hall Visitor Parking Only","remove_duplicate_missing","Already exists in kean_paths.geojson as auto_proximity; remove from kean_paths_missing.json."
"remove_duplicate_missing","high","eB00091","miron_center_main","Miron Student Center (MSC) Main Entrance","technology_center_main","Technology (TEC) Main Entrance","remove_duplicate_missing","Already exists in kean_paths.geojson as auto_proximity; remove from kean_paths_missing.json."
"remove_duplicate_missing","high","eB00094","morris avenue lot","Morris Avenue Lot","stem_main","New Jersey Center for Science, Technology and Mathematics (STEM) Main Entrance","remove_duplicate_missing","Already exists in kean_paths.geojson as auto_proximity; remove from kean_paths_missing.json."
"remove_duplicate_missing","high","eB00095","morris avenue lot","Morris Avenue Lot","wilkins_theatre_front","Wilkins Theatre Entrance front","remove_duplicate_missing","Already exists in kean_paths.geojson as auto_proximity; remove from kean_paths_missing.json."
"remove_duplicate_missing","high","eB00096","naab_entrance_front","North Avenue Academic Building (NAAB) Entrance front","overnight_lot","Overnight Lot","remove_duplicate_missing","Already exists in kean_paths.geojson as auto_proximity; remove from kean_paths_missing.json."
"remove_duplicate_missing","high","eB00097","naab_entrance_front","North Avenue Academic Building (NAAB) Entrance front","vaughn_eames_front","Vaughn-Eames Hall Entrance front","remove_duplicate_missing","Already exists in kean_paths.geojson as auto_proximity; remove from kean_paths_missing.json."
"remove_duplicate_missing","high","eB00098","naab_entrance_front","North Avenue Academic Building (NAAB) Entrance front","vaughn_eames_lot","Vaughn-Eames Lot","remove_duplicate_missing","Already exists in kean_paths.geojson as auto_proximity; remove from kean_paths_missing.json."
"remove_duplicate_missing","high","eB00102","overnight_lot","Overnight Lot","vaughn_eames_front","Vaughn-Eames Hall Entrance front","remove_duplicate_missing","Already exists in kean_paths.geojson as auto_proximity; remove from kean_paths_missing.json."
"remove_duplicate_missing","high","eB00106","stem_lot","STEM Lot","stem_main","New Jersey Center for Science, Technology and Mathematics (STEM) Main Entrance","remove_duplicate_missing","Already exists in kean_paths.geojson as auto_proximity; remove from kean_paths_missing.json."
"remove_duplicate_missing","high","eB00107","stem_lot","STEM Lot","wilkins_theatre_front","Wilkins Theatre Entrance front","remove_duplicate_missing","Already exists in kean_paths.geojson as auto_proximity; remove from kean_paths_missing.json."
"remove_duplicate_missing","high","eB00108","stem_main","New Jersey Center for Science, Technology and Mathematics (STEM) Main Entrance","wilkins_theatre_front","Wilkins Theatre Entrance front","remove_duplicate_missing","Already exists in kean_paths.geojson as auto_proximity; remove from kean_paths_missing.json."
"remove_duplicate_missing","high","eB00110","vaughn_eames_front","Vaughn-Eames Hall Entrance front","vaughn_eames_lot","Vaughn-Eames Lot","remove_duplicate_missing","Already exists in kean_paths.geojson as auto_proximity; remove from kean_paths_missing.json."
"remove_duplicate_missing","high","eB00111","vaughn_eames_front","Vaughn-Eames Hall Entrance front","wilkins_theatre_front","Wilkins Theatre Entrance front","remove_duplicate_missing","Already exists in kean_paths.geojson as auto_proximity; remove from kean_paths_missing.json."
"retrace_or_verify","high","eB00091","miron_center_main","Miron Student Center (MSC) Main Entrance","technology_center_main","Technology (TEC) Main Entrance","retrace_or_verify","Verify this does not cut across grass/buildings; retrace along actual sidewalk if kept."
"retrace_or_verify","high","eB00094","morris avenue lot","Morris Avenue Lot","stem_main","New Jersey Center for Science, Technology and Mathematics (STEM) Main Entrance","retrace_or_verify","Trace the legal crossing/sidewalk route; current auto edge is approximate."
"retrace_or_verify","high","eB00095","morris avenue lot","Morris Avenue Lot","wilkins_theatre_front","Wilkins Theatre Entrance front","retrace_or_verify","Trace the legal crossing/sidewalk route; current auto edge is approximate."
"retrace_or_verify","high","eB00080","hutchinson_hall_side","Hutchinson Hall Entrance side","morris avenue lot","Morris Avenue Lot","retrace_or_verify","Verify this uses legal sidewalk and crossing access."
"retrace_or_verify","high","eB00081","hutchinson_hall_side","Hutchinson Hall Entrance side","technology_center_main","Technology (TEC) Main Entrance","retrace_or_verify","Verify this follows sidewalk instead of a direct shortcut."
"retrace_or_verify","high","eB00111","vaughn_eames_front","Vaughn-Eames Hall Entrance front","wilkins_theatre_front","Wilkins Theatre Entrance front","retrace_or_verify","Verify this does not cut through barriers or parking."
"remove_or_block","high","eB00107","stem_lot","STEM Lot","wilkins_theatre_front","Wilkins Theatre Entrance front","remove_or_block","Bad shortcut across Morris Avenue / barriers; remove or keep blocked."
"remove_or_block","high","eB00108","stem_main","New Jersey Center for Science, Technology and Mathematics (STEM) Main Entrance","wilkins_theatre_front","Wilkins Theatre Entrance front","remove_or_block","Bad shortcut across Morris Avenue / barriers; remove or keep blocked."
"approximate_reenabled","high","eB00073","hynes_hall_lot_overflow_lot","Hynes Hall Lot Overflow Lot","hennings_hall_front","George Hennings Hall Entrance front","approximate_reenabled","Re-enabled with the closest acceptable endpoints from the traced geometry. Good approximate match, but still worth replacing with a fully confirmed sidewalk trace later."
"approximate_reenabled","high","eB00085","liberty_hall_lot","Liberty Hall Lot","lhac_main","Liberty Hall Academic Center (LHAC) Main Entrance","approximate_reenabled","Re-enabled with the closest acceptable endpoints from the traced geometry."
"approximate_reenabled","medium","eB00101","hynes_hall_lot_overflow_lot","Hynes Hall Lot Overflow Lot","stem_lot","STEM Lot","approximate_reenabled","Re-enabled using the stronger user-provided trace. Still approximate because STEM Lot and LHAC Lot currently share the same coordinates in the data."
"approximate_reenabled","medium","eB00129","visitors_parking_lot","Visitors Parking Lot","green_house_main","Green House / Faculty Lounge Main Entrance","approximate_reenabled","Re-enabled with the closest acceptable destination from the traced geometry."
"proposed_replacement","high","eB00073","hynes_hall_lot_overflow_lot","Hynes Hall Lot Overflow Lot","hennings_hall_front","George Hennings Hall Entrance front","proposed_replacement","Strong geometry match. The trace starts closer to the Hynes overflow lot than to overflow_parking and ends at Hennings front."
"proposed_replacement","high","eB00085","liberty_hall_lot","Liberty Hall Lot","lhac_main","Liberty Hall Academic Center (LHAC) Main Entrance","proposed_replacement","Strong geometry match. The trace starts at Liberty Hall Lot, not LHAC Lot."
"proposed_replacement","medium","eB00101","hynes_hall_lot_overflow_lot","Hynes Hall Lot Overflow Lot","stem_lot","STEM Lot","proposed_replacement","Best current guess from geometry, but still ambiguous because stem_lot and lhac_lot share the exact same coordinates in the data."
"proposed_replacement","medium","eB00129","visitors_parking_lot","Visitors Parking Lot","green_house_main","Green House / Faculty Lounge Main Entrance","proposed_replacement","Best current guess from geometry. The trace ends nearer Green House / Townley than any admissions node."
"qa_rule","medium","","","","","","qa_rule","After adding a traced path to kean_paths.geojson, remove the same edge_id from kean_paths_missing.json."
"qa_rule","medium","","","","","","qa_rule","Keep edge_id values unique across kean_paths.geojson and kean_paths_missing.json."
"qa_rule","medium","","","","","","qa_rule","Reject any edge that crosses a building footprint, fence, or major road without a legal pedestrian crossing."
"qa_rule","medium","","","","","","qa_rule","Review auto_proximity edges near Morris Avenue, STEM, Wilkins, Vaughn-Eames, and East Campus first."
"qa_rule","medium","","","","","","qa_rule","Prefer traced sidewalk geometry over lot-to-lot or entrance-to-entrance proximity shortcuts."
